query,truth
What is the model creation date?,Thu Mar 04 14:52:11 2021
What is the creation date of this model?,Thu Mar 04 14:52:11 2021
When is this model created?,Thu Mar 04 14:52:11 2021
What time was the model created?,Thu Mar 04 14:52:11 2021
When is the model generated?,Thu Mar 04 14:52:11 2021
What is the schema of this model?,IFC4
Can you tell me the schema?,IFC4
Tell me the IFC schema.,IFC4
Model's IFC Schema,IFC4
What is the model's schema?,IFC4
Who is the model's host?,Ning-PC
Who is the host of this model?,Ning-PC
Who is the host?,Ning-PC
Who host the model? ,Ning-PC
The model is host by who?,Ning-PC
What is the model view definition?,DesignTransferView_V1.0
What is the MVD of this model?,DesignTransferView_V1.0
Tell me the view definition.,DesignTransferView_V1.0
What is the model's view definition?,DesignTransferView_V1.0
What is the view definition of this model?,DesignTransferView_V1.0
What is storey T.O. PARAPET's elevation?,196.67 feet
What is the elevation of buildingstorey T.O. PARAPET?,196.67 feet
How many feet of T.O. PARAPET?,196.67
What is floor 00 MECH RM T.O. SLAB's elevation?,147.0 feet
How high is floor 00 MECH RM T.O. SLAB?,147.0 feet
How many feet of storey 00 MECH RM T.O. SLAB?,147.0
How high is floor T.O. PARAPET?,196.67 feet
What is the height of storey 00 MECH RM T.O. SLAB?,147.0 feet
How high of the floor T.O. Footing Elev?,150.0 feet
What is the T.O. Footing Elev's elevation?,150.0 feet
How many feet of T.O. Footing Elev?,150.0
What is the elevation of floor B.O. Footing?,151.0 feet
What is the B.O. Footing's elevation?,151.0 feet
What is the elevation of buildingstorey T.O. Footing?,153.0 feet
What is storey T.O. Footing's elevation,153.0 feet
What is the buildingstorey 01 FL 01 T.O. SLAB' elevation?,155.0 feet
What is the height of 01 FL 01 T.O. SLAB?,155.0 feet
How many feet of floor 01 FL 01 T.O. SLAB?,155.0
What is the height of floor MECH RM ROOF?,164.33 feet
How elevated of the storey of MECH RM ROOF?,164.33 feet
How many feet of MECH RM ROOF?,164.33
What is the elevation of FL 02 t.o. Structure?,168.666666666667 feet
What is floor FL 02 t.o. Structure's elevation?,168.666666666667 feet
What is the elevation of 02 FL 02 T.O. SLAB?,169.0 feet
What is storey 02 FL 02 T.O. SLAB's elevation?,169.0 feet
How many feet of 02 FL 02 T.O. SLAB?,169.0
What is the elevation of floor FL 03 t.o. Structure?,181.166666666667 feet
What is storey FL 03 t.o. Structure's elevation?,181.166666666667 feet
How elevated of floor 03 FL 03 T.O. SLAB?,181.5 feet
How many feet of storey 03 FL 03 T.O. SLAB?,181.5
How many feet of storey T.O. STEEL?,194.3333333
What is the elevation of T.O. STEEL?,194.333333333333 feet
What is T.O. STEEL's elevation?,194.333333333333 feet
What is the overallheight of window 636354?,6.0 feet
What is the overallwidth of window 636354?,4.0 feet
What is the objecttype of window 636354?,Fixed:rinker
What is the overallheight of window 174054?,3.85416666666666 feet
What is the overallwidth of window 174054?,3.6875 feet
What is the type of window 174054?,Curtain Wall Awning:Operable Vents
What is the overallheight of window 175371?,3.85416666666666 feet
What is the overallwidth of window 175371?,3.79166666666667 feet
What is the overallheight of window 572075?,4.16666666666669 feet
What is the overallwidth of window 572075?,4.16666666666666 feet
 What is the overallheight of window 624294?,6.0 feet
 What is the overallwidth of window 624294?,4.0 feet
What is the type of window 624294?,Fixed:rinker
How many feet high is window 572075?,4.166666667
How many feet wide is window 572075?,4.166666667
What is the overallheight of door 300135?,6.85367454068242 feet
What is the overallwidth of door 300135?,3.2755905511811 feet
What is the type of door 300135?,DTS_FR_FIRE_DOOR_SINGLE_VISION_2872:J
What is the overallheight of door 301555?,6.66666666666666 feet
What is the overallwidth of door 301555?,4.0 feet
What is the objecttype of door 301555?,Single-Flush Vision:G
What is door 380772's overallheight?,6.66666666666669 feet
What is door 380772's overallwidth?,3.01041666666667 feet
What is door 380772's type?,RINKER-Curtain Wall-Store Front-Sng2:D-Left
What is door 380772's objecttype?,RINKER-Curtain Wall-Store Front-Sng2:D-Left
What is the overall height of door 307650?,6.66666666666666 feet
What is the overall width of door 307650?,3.0 feet
What is the type of door 307650,Single-Flush:E-FIRE RATED
How many feet high is door 307650?,6.666666667
How many feet wide is door 300135?,3.275590551
What is the objecttype of window 308816?,Double-Glass-K:K
What is the objecttype of roof 271098?,Basic Roof:Insulation on Metal Deck - EPDM 2-RINKER
What is the objecttype of roof 572606?,Basic Roof:Insulation on Metal Deck - EPDM 2-RINKER
What is the type of ifcslab 161783?,"Floor:4"" Concrete Slab-RINKER"
What is the type of ifcslab 162696?,Floor:Concrete on Metal Deck-Rinker
What is slab 570852's objecttype?,"Floor:4"" Concrete Slab w VCT-S.O.G"
What is the type of wall 143746?,Basic Wall:Retaining Wall - 1'
What is the objecttype of ifcwall 402251?,Basic Wall:Wall at Skylight-RINKER
What is the type of ifcwall 410695?,Basic Wall:Wall at Skylight-RINKER
What is the type of ifcwall 425470?,Basic Wall:Exterior -  Mtl. Panel on Mtl.Stud - Rinker
What is ifcwall 430851's objecttype?,Basic Wall:Retaining Wall - 8'
What is the objecttype of wall 430851?,Basic Wall:Retaining Wall - 8'
What is the type of wall 452604?,Basic Wall:Bathroom Wall-Tile-Rinker
What is the objecttype of wall 452604?,Basic Wall:Bathroom Wall-Tile-Rinker
What is type of wall 452604?,Basic Wall:Bathroom Wall-Tile-Rinker
What is the type of wall 467131?,Basic Wall:Interior - W006-Wall-RINKER
What is the objecttype of ifcwall 467156?,Basic Wall:Interior -W103-Rated Wall( 1-hr)-RINKER
